transferor_loan_number,due_date,scheduled_amount,received_on,received_amount
TR-0000007,2026-06-01,4397.37,2026-05-31,4397.37
TR-0000007,2026-07-01,4397.37,2026-07-07,4397.37
TR-0000007,2026-08-01,4397.37,2026-08-05,4397.37
TR-0000007,2026-09-01,4397.37,2026-09-05,4397.37
TR-0000007,2026-10-01,4397.37,,
TR-0000008,2024-11-01,1177.15,2024-10-29,1177.15
TR-0000008,2024-12-01,1177.15,2024-12-07,1177.15
TR-0000008,2025-01-01,1177.15,2025-01-12,1177.15
TR-0000008,2025-02-01,1177.15,2025-01-31,1177.15
TR-0000008,2025-03-01,1177.15,2025-03-03,1177.15
TR-0000008,2025-04-01,1177.15,2025-04-04,1177.15
TR-0000008,2025-05-01,1177.15,2025-05-01,1177.15
TR-0000008,2025-06-01,1177.15,2025-06-11,1177.15
TR-0000008,2025-07-01,1177.15,2025-07-02,1177.15
TR-0000008,2025-08-01,1177.15,2025-08-11,1177.15
TR-0000008,2025-09-01,1177.15,2025-09-06,1177.15
TR-0000008,2025-10-01,1177.15,2025-10-09,1177.15
TR-0000008,2025-11-01,1177.15,2025-10-31,1177.15
TR-0000008,2025-12-01,1177.15,2025-12-04,1177.15
TR-0000008,2026-01-01,1177.15,2026-01-09,1177.15
TR-0000008,2026-02-01,1177.15,2026-02-03,1177.15
TR-0000008,2026-03-01,1177.15,2026-03-03,1177.15
TR-0000008,2026-04-01,1177.15,2026-04-09,1177.15
TR-0000008,2026-05-01,1177.15,2026-05-06,1177.15
TR-0000008,2026-06-01,1177.15,2026-06-07,1177.15
TR-0000008,2026-07-01,1177.15,2026-06-29,1177.15
TR-0000008,2026-08-01,1177.15,2026-07-31,1177.15
TR-0000008,2026-09-01,1177.15,2026-09-05,1177.15
TR-0000008,2026-10-01,1177.15,,
TR-0000009,2024-11-01,7027.36,2024-11-12,7027.36
TR-0000009,2024-12-01,7027.36,2024-12-08,7027.36
TR-0000009,2025-01-01,7027.36,2025-01-12,7027.36
TR-0000009,2025-02-01,7027.36,2025-02-01,7027.36
TR-0000009,2025-03-01,7027.36,2025-02-27,7027.36
TR-0000009,2025-04-01,7027.36,2025-04-13,7027.36
TR-0000009,2025-05-01,7027.36,2025-04-30,7027.36
TR-0000009,2025-06-01,7027.36,2025-05-31,7027.36
TR-0000009,2025-07-01,7027.36,2025-07-07,7027.36
TR-0000009,2025-08-01,7027.36,2025-08-02,7027.36
TR-0000009,2025-09-01,7027.36,2025-09-01,7027.36
TR-0000009,2025-10-01,7027.36,2025-10-04,7027.36
TR-0000009,2025-11-01,7027.36,2025-11-09,7027.36
TR-0000009,2025-12-01,7027.36,2025-12-10,7027.36
TR-0000009,2026-01-01,7027.36,2025-12-29,7027.36
TR-0000009,2026-02-01,7027.36,2026-02-07,7027.36
TR-0000009,2026-03-01,7027.36,2026-03-10,7027.36
TR-0000009,2026-04-01,7027.36,2026-04-13,7027.36
TR-0000009,2026-05-01,7027.36,2026-04-29,7027.36
TR-0000009,2026-06-01,7027.36,2026-06-03,7027.36
TR-0000009,2026-07-01,7027.36,2026-07-01,7027.36
TR-0000009,2026-08-01,7027.36,2026-08-04,7027.36
TR-0000009,2026-09-01,7027.36,2026-09-10,7027.36
TR-0000009,2026-10-01,7027.36,,
TR-0000010,2024-11-01,1338.98,2024-11-11,1338.98
TR-0000010,2024-12-01,1338.98,2024-12-01,1338.98
TR-0000010,2025-01-01,1338.98,2024-12-30,1338.98
TR-0000010,2025-02-01,1338.98,2025-02-13,1338.98
TR-0000010,2025-03-01,1338.98,2025-03-09,1338.98
TR-0000010,2025-04-01,1338.98,2025-03-29,1338.98
TR-0000010,2025-05-01,1338.98,2025-05-12,1338.98
TR-0000010,2025-06-01,1338.98,2025-06-01,1338.98
TR-0000010,2025-07-01,1338.98,2025-07-04,1338.98
TR-0000010,2025-08-01,1338.98,2025-08-04,1338.98
TR-0000010,2025-09-01,1338.98,2025-09-09,1338.98
TR-0000010,2025-10-01,1338.98,2025-09-29,1338.98
TR-0000010,2025-11-01,1338.98,2025-10-31,1338.98
TR-0000010,2025-12-01,1338.98,2025-12-07,1338.98
TR-0000010,2026-01-01,1338.98,2026-01-03,1338.98
TR-0000010,2026-02-01,1338.98,2026-02-12,1338.98
TR-0000010,2026-03-01,1338.98,2026-02-28,1338.98
TR-0000010,2026-04-01,1338.98,2026-04-02,1338.98
TR-0000010,2026-05-01,1338.98,2026-05-03,1338.98
TR-0000010,2026-06-01,1338.98,2026-05-29,1338.98
TR-0000010,2026-07-01,1338.98,2026-07-10,1338.98
TR-0000010,2026-08-01,1338.98,2026-08-13,1338.98
TR-0000010,2026-09-01,1338.98,2026-09-10,1338.98
TR-0000010,2026-10-01,1338.98,,
TR-0000011,2024-11-01,1615.51,2024-11-06,1615.51
TR-0000011,2024-12-01,1615.51,2024-12-04,1615.51
TR-0000011,2025-01-01,1615.51,2025-01-04,1615.51
TR-0000011,2025-02-01,1615.51,2025-01-31,1615.51
TR-0000011,2025-03-01,1615.51,2025-03-04,1615.51
TR-0000011,2025-04-01,1615.51,2025-04-12,1615.51
TR-0000011,2025-05-01,1615.51,2025-05-03,1615.51
TR-0000011,2025-06-01,1615.51,2025-06-03,1615.51
TR-0000011,2025-07-01,1615.51,2025-07-04,1615.51
TR-0000011,2025-08-01,1615.51,2025-08-07,1615.51
TR-0000011,2025-09-01,1615.51,2025-09-13,1615.51
TR-0000011,2025-10-01,1615.51,2025-10-12,1615.51
TR-0000011,2025-11-01,1615.51,2025-11-05,1615.51
TR-0000011,2025-12-01,1615.51,2025-12-03,1615.51
TR-0000011,2026-01-01,1615.51,2026-01-02,1615.51
TR-0000011,2026-02-01,1615.51,2026-02-05,1615.51
TR-0000011,2026-03-01,1615.51,2026-03-02,1615.51
TR-0000011,2026-04-01,1615.51,2026-04-08,1615.51
TR-0000011,2026-05-01,1615.51,2026-05-02,1615.51
TR-0000011,2026-06-01,1615.51,2026-06-11,1615.51
TR-0000011,2026-07-01,1615.51,2026-07-06,1615.51
TR-0000011,2026-08-01,1615.51,2026-08-10,1615.51
TR-0000011,2026-09-01,1615.51,2026-09-08,1615.51
TR-0000011,2026-10-01,1615.51,,
TR-0000012,2024-11-01,3347.41,2024-11-08,3347.41
TR-0000012,2024-12-01,3347.41,2024-12-11,3347.41
TR-0000012,2025-01-01,3347.41,2025-01-08,3347.41
TR-0000012,2025-02-01,3347.41,2025-02-05,3347.41
TR-0000012,2025-03-01,3347.41,2025-03-02,3347.41
TR-0000012,2025-04-01,3347.41,2025-04-03,3347.41
TR-0000012,2025-05-01,3347.41,2025-05-03,3347.41
TR-0000012,2025-06-01,3347.41,2025-06-11,3347.41
TR-0000012,2025-07-01,3347.41,2025-07-11,3347.41
TR-0000012,2025-08-01,3347.41,2025-08-12,3347.41
TR-0000012,2025-09-01,3347.41,2025-09-09,3347.41
TR-0000012,2025-10-01,3347.41,2025-10-02,3347.41
TR-0000012,2025-11-01,3347.41,2025-11-11,3347.41
TR-0000012,2025-12-01,3347.41,2025-12-11,3347.41
TR-0000012,2026-01-01,3347.41,2025-12-29,3347.41
TR-0000012,2026-02-01,3347.41,2026-01-30,3347.41
TR-0000012,2026-03-01,3347.41,2026-02-27,3347.41
TR-0000012,2026-04-01,3347.41,2026-04-09,3347.41
TR-0000012,2026-05-01,3347.41,2026-05-01,3347.41
TR-0000012,2026-06-01,3347.41,2026-06-11,3347.41
TR-0000012,2026-07-01,3347.41,2026-07-09,3347.41
TR-0000012,2026-08-01,3347.41,2026-08-13,3347.41
TR-0000012,2026-09-01,3347.41,2026-09-11,3347.41
TR-0000012,2026-10-01,3347.41,,
TR-0000013,2024-11-01,2054.34,2024-11-02,2054.34
TR-0000013,2024-12-01,2054.34,2024-12-12,2054.34
TR-0000013,2025-01-01,2054.34,2025-01-12,2054.34
TR-0000013,2025-02-01,2054.34,2025-01-29,2054.34
TR-0000013,2025-03-01,2054.34,2025-03-03,2054.34
TR-0000013,2025-04-01,2054.34,2025-04-02,2054.34
TR-0000013,2025-05-01,2054.34,2025-05-01,2054.34
TR-0000013,2025-06-01,2054.34,2025-06-13,2054.34
TR-0000013,2025-07-01,2054.34,2025-07-08,2054.34
TR-0000013,2025-08-01,2054.34,2025-08-13,2054.34
TR-0000013,2025-09-01,2054.34,2025-09-01,2054.34
TR-0000013,2025-10-01,2054.34,2025-10-09,2054.34
TR-0000013,2025-11-01,2054.34,2025-11-01,2054.34
TR-0000013,2025-12-01,2054.34,2025-12-08,2054.34
TR-0000013,2026-01-01,2054.34,2026-01-13,2054.34
TR-0000013,2026-02-01,2054.34,2026-02-09,2054.34
TR-0000013,2026-03-01,2054.34,2026-03-13,2054.34
TR-0000013,2026-04-01,2054.34,2026-04-03,2054.34
TR-0000013,2026-05-01,2054.34,2026-05-13,2054.34
TR-0000013,2026-06-01,2054.34,2026-06-13,2054.34
TR-0000013,2026-07-01,2054.34,2026-07-01,2054.34
TR-0000013,2026-08-01,2054.34,2026-08-09,2054.34
TR-0000013,2026-09-01,2054.34,2026-09-06,2054.34
TR-0000013,2026-10-01,2054.34,,
TR-0000014,2024-11-01,2427.35,2024-11-05,2427.35
TR-0000014,2024-12-01,2427.35,2024-11-30,2427.35
TR-0000014,2025-01-01,2427.35,2024-12-31,2427.35
TR-0000014,2025-02-01,2427.35,2025-02-12,2427.35
TR-0000014,2025-03-01,2427.35,2025-03-01,2427.35
TR-0000014,2025-04-01,2427.35,2025-04-12,2427.35
TR-0000014,2025-05-01,2427.35,2025-05-11,2427.35
TR-0000014,2025-06-01,2427.35,2025-06-01,2427.35
TR-0000014,2025-07-01,2427.35,2025-07-12,2427.35
TR-0000014,2025-08-01,2427.35,2025-08-07,2427.35
TR-0000014,2025-09-01,2427.35,2025-09-12,2427.35
TR-0000014,2025-10-01,2427.35,2025-10-11,2427.35
TR-0000014,2025-11-01,2427.35,2025-11-11,2427.35
TR-0000014,2025-12-01,2427.35,2025-12-08,2427.35
TR-0000014,2026-01-01,2427.35,2026-01-05,2427.35
TR-0000014,2026-02-01,2427.35,2026-02-07,2427.35
TR-0000014,2026-03-01,2427.35,2026-03-06,2427.35
TR-0000014,2026-04-01,2427.35,2026-04-03,2427.35
TR-0000014,2026-05-01,2427.35,2026-04-28,2427.35
TR-0000014,2026-06-01,2427.35,2026-06-11,2427.35
TR-0000014,2026-07-01,2427.35,2026-07-10,2427.35
TR-0000014,2026-08-01,2427.35,2026-08-10,2427.35
TR-0000014,2026-09-01,2427.35,2026-09-06,2427.35
TR-0000014,2026-10-01,2427.35,,
TR-0000015,2024-11-01,3203.30,2024-10-31,3203.30
TR-0000015,2024-12-01,3203.30,2024-11-28,3203.30
TR-0000015,2025-01-01,3203.30,2025-01-08,3203.30
TR-0000015,2025-02-01,3203.30,2025-02-07,3203.30
TR-0000015,2025-03-01,3203.30,2025-03-02,3203.30
TR-0000015,2025-04-01,3203.30,2025-04-13,3203.30
TR-0000015,2025-05-01,3203.30,2025-05-06,3203.30
TR-0000015,2025-06-01,3203.30,2025-06-03,3203.30
TR-0000015,2025-07-01,3203.30,2025-07-09,3203.30
TR-0000015,2025-08-01,3203.30,2025-08-08,3203.30
TR-0000015,2025-09-01,3203.30,2025-09-06,3203.30
TR-0000015,2025-10-01,3203.30,2025-10-02,3203.30
TR-0000015,2025-11-01,3203.30,2025-11-11,3203.30
TR-0000015,2025-12-01,3203.30,2025-11-28,3203.30
TR-0000015,2026-01-01,3203.30,2026-01-03,3203.30
TR-0000015,2026-02-01,3203.30,2026-02-03,3203.30
TR-0000015,2026-03-01,3203.30,2026-02-27,3203.30
TR-0000015,2026-04-01,3203.30,2026-04-08,3203.30
TR-0000015,2026-05-01,3203.30,2026-05-12,3203.30
TR-0000015,2026-06-01,3203.30,2026-06-10,3203.30
TR-0000015,2026-07-01,3203.30,2026-07-06,3203.30
TR-0000015,2026-08-01,3203.30,2026-08-01,3203.30
TR-0000015,2026-09-01,3203.30,2026-09-04,3203.30
TR-0000015,2026-10-01,3203.30,,
TR-0000016,2024-11-01,6200.20,2024-11-06,6200.20
TR-0000016,2024-12-01,6200.20,2024-12-10,6200.20
TR-0000016,2025-01-01,6200.20,2025-01-05,6200.20
TR-0000016,2025-02-01,6200.20,2025-02-01,6200.20
TR-0000016,2025-03-01,6200.20,2025-03-01,6200.20
TR-0000016,2025-04-01,6200.20,2025-04-09,6200.20
TR-0000016,2025-05-01,6200.20,2025-05-10,6200.20
TR-0000016,2025-06-01,6200.20,2025-06-11,6200.20
TR-0000016,2025-07-01,6200.20,2025-07-02,6200.20
TR-0000016,2025-08-01,6200.20,2025-08-04,6200.20
TR-0000016,2025-09-01,6200.20,2025-09-13,6200.20
TR-0000016,2025-10-01,6200.20,2025-10-01,6200.20
TR-0000016,2025-11-01,6200.20,2025-11-11,6200.20
TR-0000016,2025-12-01,6200.20,2025-12-02,6200.20
TR-0000016,2026-01-01,6200.20,2026-01-04,6200.20
TR-0000016,2026-02-01,6200.20,2026-02-04,6200.20
TR-0000016,2026-03-01,6200.20,2026-03-04,6200.20
TR-0000016,2026-04-01,6200.20,2026-04-07,6200.20
TR-0000016,2026-05-01,6200.20,2026-05-10,6200.20
TR-0000016,2026-06-01,6200.20,2026-06-06,6200.20
TR-0000016,2026-07-01,6200.20,2026-07-10,6200.20
TR-0000016,2026-08-01,6200.20,2026-08-08,6200.20
TR-0000016,2026-09-01,6200.20,2026-09-07,6200.20
TR-0000016,2026-10-01,6200.20,,
TR-0000017,2024-11-01,1570.91,2024-10-30,1570.91
TR-0000017,2024-12-01,1570.91,2024-12-09,1570.91
TR-0000017,2025-01-01,1570.91,2025-01-10,1570.91
TR-0000017,2025-02-01,1570.91,2025-02-02,1570.91
TR-0000017,2025-03-01,1570.91,2025-03-03,1570.91
TR-0000017,2025-04-01,1570.91,2025-04-11,1570.91
TR-0000017,2025-05-01,1570.91,2025-05-03,1570.91
TR-0000017,2025-06-01,1570.91,2025-06-12,1570.91
TR-0000017,2025-07-01,1570.91,2025-07-13,1570.91
TR-0000017,2025-08-01,1570.91,2025-08-12,1570.91
TR-0000017,2025-09-01,1570.91,2025-09-06,1570.91
TR-0000017,2025-10-01,1570.91,2025-10-05,1570.91
TR-0000017,2025-11-01,1570.91,2025-11-02,1570.91
TR-0000017,2025-12-01,1570.91,2025-11-30,1570.91
TR-0000017,2026-01-01,1570.91,2026-01-06,1570.91
TR-0000017,2026-02-01,1570.91,2026-01-30,1570.91
TR-0000017,2026-03-01,1570.91,2026-02-28,1570.91
TR-0000017,2026-04-01,1570.91,2026-04-08,1570.91
TR-0000017,2026-05-01,1570.91,2026-05-06,1570.91
TR-0000017,2026-06-01,1570.91,2026-06-07,1570.91
TR-0000017,2026-07-01,1570.91,2026-07-02,1570.91
TR-0000017,2026-08-01,1570.91,2026-08-08,1570.91
TR-0000017,2026-09-01,1570.91,2026-09-03,1570.91
TR-0000017,2026-10-01,1570.91,,
TR-0000018,2024-11-01,3042.21,2024-11-06,3042.21
TR-0000018,2024-12-01,3042.21,2024-12-01,3042.21
TR-0000018,2025-01-01,3042.21,2025-01-13,3042.21
TR-0000018,2025-02-01,3042.21,2025-02-05,3042.21
TR-0000018,2025-03-01,3042.21,2025-03-06,3042.21
TR-0000018,2025-04-01,3042.21,2025-04-07,3042.21
TR-0000018,2025-05-01,3042.21,2025-04-30,3042.21
TR-0000018,2025-06-01,3042.21,2025-06-05,3042.21
TR-0000018,2025-07-01,3042.21,2025-07-04,3042.21
TR-0000018,2025-08-01,3042.21,2025-08-09,3042.21
TR-0000018,2025-09-01,3042.21,2025-08-30,3042.21
TR-0000018,2025-10-01,3042.21,2025-10-09,3042.21
TR-0000018,2025-11-01,3042.21,2025-11-06,3042.21
TR-0000018,2025-12-01,3042.21,2025-12-12,3042.21
TR-0000018,2026-01-01,3042.21,2026-01-07,3042.21
TR-0000018,2026-02-01,3042.21,2026-01-31,3042.21
TR-0000018,2026-03-01,3042.21,2026-03-09,3042.21
TR-0000018,2026-04-01,3042.21,2026-04-11,3042.21
TR-0000018,2026-05-01,3042.21,2026-05-09,3042.21
TR-0000018,2026-06-01,3042.21,2026-06-07,3042.21
TR-0000018,2026-07-01,3042.21,2026-07-03,3042.21
TR-0000018,2026-08-01,3042.21,2026-08-02,3042.21
TR-0000018,2026-09-01,3042.21,2026-09-02,3042.21
TR-0000018,2026-10-01,3042.21,,
TR-0000019,2024-11-01,1995.46,2024-11-02,1995.46
TR-0000019,2024-12-01,1995.46,2024-12-08,1995.46
TR-0000019,2025-01-01,1995.46,2025-01-05,1995.46
TR-0000019,2025-02-01,1995.46,2025-02-11,1995.46
TR-0000019,2025-03-01,1995.46,2025-03-03,1995.46
TR-0000019,2025-04-01,1995.46,2025-04-09,1995.46
TR-0000019,2025-05-01,1995.46,2025-04-28,1995.46
TR-0000019,2025-06-01,1995.46,2025-06-02,1995.46
TR-0000019,2025-07-01,1995.46,2025-07-08,1995.46
TR-0000019,2025-08-01,1995.46,2025-08-12,1995.46
TR-0000019,2025-09-01,1995.46,2025-09-01,1995.46
TR-0000019,2025-10-01,1995.46,2025-10-08,1995.46
TR-0000019,2025-11-01,1995.46,2025-11-08,1995.46
TR-0000019,2025-12-01,1995.46,2025-12-02,1995.46
TR-0000019,2026-01-01,1995.46,2026-01-01,1995.46
TR-0000019,2026-02-01,1995.46,2026-02-11,1995.46
TR-0000019,2026-03-01,1995.46,2026-03-13,1995.46
TR-0000019,2026-04-01,1995.46,2026-04-07,1995.46
TR-0000019,2026-05-01,1995.46,2026-04-28,1995.46
TR-0000019,2026-06-01,1995.46,2026-06-01,1995.46
TR-0000019,2026-07-01,1995.46,2026-06-29,1995.46
TR-0000019,2026-08-01,1995.46,2026-08-05,1995.46
TR-0000019,2026-09-01,1995.46,2026-09-01,1995.46
