transferor_loan_number,line_type,annual_amount,next_due_date
TR-0000075,county_tax,8401.00,2026-12-10
TR-0000075,hazard,2448.00,2026-12-24
TR-0000076,county_tax,19422.00,2027-01-31
TR-0000076,hazard,1611.00,2027-01-15
TR-0000077,county_tax,6172.00,2026-12-10
TR-0000077,hazard,952.00,2027-06-03
TR-0000079,county_tax,14120.00,2026-12-10
TR-0000079,hazard,2555.00,2027-07-28
TR-0000080,county_tax,8796.00,2026-12-10
TR-0000080,hazard,1791.00,2027-01-12
TR-0000081,county_tax,15197.00,2026-12-10
TR-0000081,hazard,1104.00,2027-01-07
TR-0000083,county_tax,17918.00,2027-01-31
TR-0000083,hazard,1805.00,2027-04-16
TR-0000084,county_tax,9016.00,2026-12-10
TR-0000084,hazard,2551.00,2027-07-16
TR-0000085,county_tax,9153.00,2026-12-10
TR-0000085,hazard,1564.00,2027-04-15
TR-0000088,county_tax,5800.00,2026-12-10
TR-0000088,hazard,1420.00,2027-07-29
TR-0000089,county_tax,6626.00,2026-12-10
TR-0000089,hazard,1581.00,2026-12-25
TR-0000090,county_tax,5957.00,2026-12-10
TR-0000090,hazard,1621.00,2027-01-16
TR-0000092,county_tax,12182.00,2027-01-31
TR-0000092,hazard,1750.00,2026-11-16
TR-0000093,county_tax,10017.00,2026-12-10
TR-0000093,hazard,1234.00,2027-05-11
TR-0000094,county_tax,6007.00,2026-12-10
TR-0000094,hazard,2053.00,2026-11-24
TR-0000095,county_tax,12495.00,2026-12-10
TR-0000095,hazard,2521.00,2026-12-19
TR-0000096,county_tax,5430.00,2026-12-10
TR-0000096,hazard,2317.00,2027-01-01
TR-0000096,flood,959.00,
TR-0000097,county_tax,14903.00,2027-01-31
TR-0000097,hazard,1673.00,2026-11-17
TR-0000097,flood,1304.00,
TR-0000098,county_tax,4699.00,2026-12-10
TR-0000098,hazard,1041.00,2027-08-15
TR-0000099,county_tax,7730.00,2026-12-10
TR-0000099,hazard,2069.00,2027-04-04
